college_name,state,city,field,ranking,score
Indian Institute of Technology Bombay,Maharashtra,Mumbai,engineering,3,83.09
Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,engineering,4,82.79
Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,engineering,5,76.88
Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,engineering,6,76.0
Indian Institute of Technology Guwahati,Assam,Guwahati,engineering,7,71.86
Indian Institute of Technology Hyderabad,Telangana,Hyderabad,engineering,8,71.55
National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,engineering,9,66.88
Indian Institute of Technology (Banaras Hindu University) Varanasi,Uttar Pradesh,Varanasi,engineering,10,66.69
Vellore Institute of Technology,Tamil Nadu,Vellore,engineering,11,66.22
Jadavpur University,West Bengal,Kolkata,engineering,12,65.62
S.R.M. Institute of Science and Technology,Tamil Nadu,Chennai,engineering,13,65.41
Anna University,Tamil Nadu,Chennai,engineering,14,65.34
Indian Institute of Technology (Indian School of Mines) Dhanbad,Jharkhand,Dhanbad,engineering,15,64.83
Indian Institute of Technology Indore,Madhya Pradesh,Indore,engineering,16,64.72
"National Institute of Technology Karnataka, Surathkal",Karnataka,Surathkal,engineering,17,64.27
Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,engineering,18,63.42
National Institute of Technology Rourkela,Odisha,Rourkela,engineering,19,63.38
"Birla Institute of Technology and Science, Pilani",Rajasthan,Pilani,engineering,20,63.04
National Institute of Technology Warangal,Telangana,Warangal,engineering,21,61.72
Indian Institute of Technology Ropar,Punjab,Rupnagar,engineering,22,61.56
Amrita Vishwa Vidyapeetham,Tamil Nadu,Coimbatore,engineering,23,61.29
Jamia Millia Islamia,Delhi,New Delhi,engineering,24,61.28
National Institute of Technology Calicut,Kerala,Kozhikode,engineering,25,61.19
Siksha `O` Anusandhan,Odisha,Bhubaneswar,engineering,26,60.97
Delhi Technological University,Delhi,New Delhi,engineering,27,60.78
Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,engineering,28,60.61
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Punjab,Patiala,engineering,29,60.35
Amity University,Uttar Pradesh,Gautam Budh Nagar,engineering,30,59.91
Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,engineering,31,59.86
Chandigarh University,Punjab,Mohali,engineering,32,59.82
Aligarh Muslim University,Uttar Pradesh,Aligarh,engineering,33,59.16
Indian Institute of Technology Patna,Bihar,Patna,engineering,34,58.4
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Andhra Pradesh,Vaddeswaram,engineering,35,58.24
Kalasalingam Academy of Research and Education,Tamil Nadu,Srivilliputhur,engineering,36,58.2
Kalinga Institute of Industrial Technology,Odisha,Bhubaneswar,engineering,37,58.0
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,Thanjavur,engineering,38,57.97
Visvesvaraya National Institute of Technology Nagpur,Maharashtra,Nagpur,engineering,39,57.89
National Institute of Technology Silchar,Assam,Silchar,engineering,40,57.6
Institute of Chemical Technology,Maharashtra,Mumbai,engineering,41,56.93
UPES,Uttarakhand,Dehradun,engineering,42,56.65
